name,recommend_time,City
SUMMIT One Vanderbilt,,New York
Statue of Liberty,120,New York
The Metropolitan Museum of Art,720,New York
Rockefeller Center,120,New York
Empire State Building,60,New York
Times Square,60,New York
Central Park,60,New York
American Museum of Natural History,180,New York
Top of The Rock,60,New York
New York Museum of Modern Art,120,New York
United Nations Headquarters,120,New York
One World Trade Center,60,New York
Wall Street,30,New York
Fifth Avenue,60,New York
One World Observatory,60,New York
Brooklyn Bridge,60,New York
Empire State Building Main Deck,60,New York
The Lion King,150,New York
St. Patrick's Cathedral,60,New York
The National 9/11 Memorial & Museum,60,New York
United States Military Academy,,New York
Charging Bull,30,New York
Madame Tussauds New York,120,New York
Broadway,120,New York
Solomon R. Guggenheim Museum,60,New York
Top of The Rock,60,New York
Trinity Church,60,New York
Flatiron Building,10,New York
Vessel,60,New York
The High Line,60,New York
Greenwich Village,1440,New York
Midtown Manhattan Skyline,15,New York
The Lion King,150,New York
Madison Square Garden,60,New York
SoHo,60,New York
New York University,120,New York
New York Stock Exchange,60,New York
Circle Line Sightseeing Cruises,60,New York
Trump Tower,60,New York
Washington Square Park,60,New York
Whitney Museum of American Art,60,New York
Bryant Park,120,New York
M&M'S New York,120,New York
Chicago The Musical,150,New York
Manhattanhenge,,New York
Broadway Theatre,60,New York
The Morgan Library & Museum,60,New York
Majestic Theatre,60,New York
Aladdin,,New York
Roosevelt Island,60,New York
One World Observatory,60,New York
Ripley's Believe It or Not! Times Square,30,New York
Central Park Zoo,120,New York
Manhattan Bridge,60,New York
Sleep No More,,New York
Union Square,60,New York
Dumbo,60,New York
Flushing Meadows Corona Park,60,New York
World Financial Center,,New York
Carnegie Hall,120,New York
Big Bus Tours New York,None,New York
Battery Park,60,New York
Little Italy,60,New York
The Frick Collection,60,New York
New York Botanical Garden,720,New York
The Cathedral Church of St. John the Divine,60,New York
Bronx Zoo,180,New York
Lincoln Center for the Performing Arts,60,New York
Upper East Side,120,New York
Chrysler Building,60,New York
Governors Island,120,New York
Columbus Circle,30,New York
Free Synagogue of Flushing,,New York
New York City Hall,60,New York
Queens Botanical Garden,,New York
Brooklyn Bridge Park,60,New York
Bethesda Fountain,20,New York
Coney Island,120,New York
Erie Canal Museum,120,Syracuse
The Oncenter,,Syracuse
Rosamond Gifford Zoo,,Syracuse
Cathedral of the Immaculate Conception,,Syracuse
Museum of Science & Technology,60,Syracuse
NBT Bank Stadium,,Syracuse
Green Lakes State Park,,Syracuse
Clinton Square,60,Syracuse
Mid-Lakes Navigation,,Syracuse
E.M. Mills Rose Garden,,Syracuse
Onondaga Lake Park,,Syracuse
Carrier Dome,,Syracuse
Beak & Skiff,,Syracuse
Everson Museum of Art,120,Syracuse
Skaneateles Lake,,Syracuse
Oakwood Cemetery,,Syracuse
Landmark Theatre,60,Syracuse
New York State Fairgrounds,,Syracuse
Museum of Intrigue,,Syracuse
Salt Museum,,Syracuse
Museum of Intrigue,,Syracuse
Chittenango Falls State Park,,Syracuse
Onondaga Historical Association,,Syracuse
Central New York Regional Market,,Syracuse
Owera Vineyards,,Syracuse
Big Don's Wild River Mini Golf,,Syracuse
Clark Reservation State Park,,Syracuse
Pratts Falls Park,,Syracuse
Amazing Mirror Maze,,Syracuse
The Strong National Museum of Play,120,Rochester
Christ Church,,Rochester
Frontier Field,,Rochester
Rochester Museum & Science Center,,Rochester
Seneca Park Zoo,,Rochester
George Eastman Museum,,Rochester
Susan B. Anthony Museum & House,,Rochester
Seabreeze Amusement Park,,Rochester
Highland Park,,Rochester
Memorial Art Gallery,,Rochester
Durand Eastman Park,,Rochester
Mount Hope Cemetery,,Rochester
Charlotte-Genesee Lighthouse,,Rochester
Finger Lakes Wine Country,,Rochester
Downtown Rochester,,Rochester
Genesee River's High Falls,,Rochester
Erie Canal,,Rochester
Geva Theatre Center,,Rochester
Ontario Beach Park,,Rochester
ARTISANworks,,Rochester
Brighton Town Park,,Rochester
Mercury Statue,,Rochester
Rochester Institute of Technology,,Rochester
Eastman Theatre,,Rochester
Erie Canal Trail,,Rochester
Rochester Riverside Convention Center,,Rochester
Charlotte-Genesee Lighthouse,,Rochester
Strasenburgh Planetarium,,Rochester
Genesee Riverway Trail,,Rochester
Blue Cross Arena,,Rochester
